Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
ICC Cricket World Cup 2011,male,indian_asian,25,3. Young Adult,Gauteng,0:01:08,1. Skim,0.018889,0.018889,57:00.0,Mon,14,Mar,Weekday,5. Evening
Supersport Live Events,male,coloured,30,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,20:00.0,Fri,19,Feb,Weekday,5. Evening
ICC Cricket World Cup 2011,male,coloured,30,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,14:00.0,Fri,25,Mar,Weekday,4. Afternoon
Trace TV,male,None,40,4. Adult,Mpumalanga,0:00:42,1. Skim,0.011667,0.011667,51:00.0,Fri,5,Feb,Weekday,6. Evening_Peak
Trace TV,male,coloured,36,4. Adult,Western Cape,1:16:15,4. Long_watch,1.270834,1.270834,18:00.0,Wed,24,Feb,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,36,4. Adult,Western Cape,0:04:10,1. Skim,0.069445,0.069445,16:00.0,Wed,24,Feb,Weekday,4. Afternoon
Supersport Live Events,male,black,26,3. Young Adult,Gauteng,0:26:44,3. Regular_watch,0.445555,0.445555,32:00.0,Fri,5,Feb,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,34,3. Young Adult,Kwazulu Natal,0:00:00,1. Skim,0,0.00E+00,31:00.0,Wed,30,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,coloured,43,4. Adult,Gauteng,0:01:36,1. Skim,0.026667,0.026667,02:00.0,Thu,10,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,32,3. Young Adult,Limpopo,0:01:18,1. Skim,0.021667,0.021667,03:00.0,Wed,30,Mar,Weekday,3. Mid_Morning
Africa Magic,male,black,28,3. Young Adult,Gauteng,0:31:54,3. Regular_watch,0.531667,0.531667,52:00.0,Thu,7,Jan,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,30,3. Young Adult,Western Cape,0:00:00,1. Skim,0,0.00E+00,05:00.0,Tue,1,Mar,Weekday,4. Afternoon
Channel O,male,black,32,3. Young Adult,North West,0:22:54,3. Regular_watch,0.381667,0.381667,21:00.0,Wed,2,Mar,Weekday,4. Afternoon
Supersport Live Events,male,black,45,4. Adult,Gauteng,0:03:26,1. Skim,0.057222,0.057222,56:00.0,Tue,16,Feb,Weekday,6. Evening_Peak
Boomerang,male,black,24,3. Young Adult,North West,0:00:34,1. Skim,0.009444,0.009444,44:00.0,Tue,9,Feb,Weekday,4. Afternoon
SuperSport Blitz,male,coloured,25,3. Young Adult,Gauteng,0:03:12,1. Skim,0.053333,0.053333,12:00.0,Sat,23,Jan,Weekend,4. Afternoon
CNN,male,black,45,4. Adult,Free State,0:22:15,3. Regular_watch,0.370834,0.370834,28:00.0,Thu,4,Feb,Weekday,2. Morning_Peak
Channel O,male,coloured,28,3. Young Adult,Gauteng,0:38:51,3. Regular_watch,0.6475,0.6475,41:00.0,Mon,22,Feb,Weekday,5. Evening
Cartoon Network,male,indian_asian,37,4. Adult,Kwazulu Natal,0:00:51,1. Skim,0.014167,0.014167,39:00.0,Sun,27,Mar,Weekend,4. Afternoon
